"15 Sonyeon Uju Pyoryugi"
"Animalympics"
"Be Forever Yamato"
"Bloody Lady"
"Bon Voyage, Charlie Brown (and Don't Come Back!!)"
"Cyborg 009: Legend of the Super Galaxy"
"Doksuri 5 Hyeongje"
"Doraemon: The Motion Picture"
"Eleven Hungry Cats"
"Fumoon"
"Gaegujangi Cheonsadeul"
"Ganbare!! Tabuchi-kun!! 2: Gekitō Pennant Race"
"Ganbare!! Tabuchi-kun!! Hatsu Warai 3: Aa Tsuppari Jinsei"
"Gnomes"
"The King and the Mockingbird"
"Kkomaeosa Ttori"
"The Little Train"
"Makoto-chan"
"The Missing Link"
"Nobody's Boy: Remi"
"Phoenix 2772"
"Pinocchio's Christmas"
"Pogo for President: 'I Go Pogo'"
"Pontoffel Pock, Where Are You?"
"The Return of the King"
"Robot King"
"Scruffy"
"Snow White Christmas"
"Sonyeon 007 Eunhateukgongdae"
"Tajemnica szyfru Marabuta"
"The Tale of John and Marie"
"Tale of Three Kingdoms"
"Tale of Three Kingdoms - Oath of the Peach Garden"
"The Thralls' Kids"
"Tomorrow's Joe"
"Toward the Terra"
"The Trouble with Miss Switch"
"Twelve Months"
"Ujudaejang aekkunun"
"Yogi's First Christmas"
"Adieu Galaxy Express 999"
"American Pop"
"Around the World with Dot"
"Blizkata Dalechina"
"Bulsajo Roboteu Pinikseu King"
"Captain"
"Chie the Brat"
"Doraemon: The Record of Nobita: Spaceblazer"
"Eomma chaja sammalli"
"The Fantastic Adventures of Unico"
"The Fox and the Hound"
"Frankenstein"
"Furiten-kun"
"Gongnyong Baengmannyeon Ttori"
"Grendel Grendel Grendel"
"Gugugui taeyang seongung isunsin"
"Hashire Melos"
"Heavy Metal"
"Ico, the Brave Pony"
"The Looney Looney Looney Bugs Bunny Movie"
"Maria, Mirabela"
"Minoïe"
"Mobile Suit Gundam I"
"Mobile Suit Gundam II: Soldiers of Sorrow"
"The Mystery of the Third Planet"
"Natsu e no Tobira"
"Peter-No-Tail"
"Rennyo and His Mother"
"Renshenguo"
"Run Melos"
"The Sea Prince and the Fire Child"
"Son of the White Mare"
"Sonyeon 007 Jihajeguk"
"Space Warrior Baldios"
"Swan Lake"
"Tomorrow's Joe 2"
"Vuk"
"The Adventures of Monica and Her Friends"
"The Adventures of Sam the Squirrel"
"Adventures of Robinson Crusoe, a Sailor from York"
"Aladdin and the Magic Lamp"
"Attack of the Super Monsters"
"Autumn"
"Bugs Bunny's 3rd Movie: 1001 Rabbit Tales"
"Chronopolis"
"Chohabgeum roboteu SOLAR I.II.III"
"Cobra: Space Adventure"
"Computer Haekjeonham Pokpadaejakjeon"
"Doraemon: Nobita and the Haunts of Evil"
"Dr. Slump: ""Hoyoyo!"" Space Adventure"
"The Flight of Dragons"
"The Flying Windmill"
"Future War 198X Nen"
"Gauche the Cellist"
"The Grinch Grinches the Cat in the Hat"
"Haedori daemoheom"
"Haguregumo"
"Heidi's Song"
"Heungnyongwanggwa Bihodongja"
"Hey Good Lookin'"
"Hokseongnoboteu Sseondeo A"
"The Ideon: A Contact"
"The Ideon: Be Invoked"
"The Last Unicorn"
"Mafalda"
